Titre,Année,Durée,Genres,Note,Votes
La petite fée de Solbakken,1919,111,Drama,6.6,40
Le chant de la fleur écarlate,1919,145,"Drama,Romance",7.0,155
Le tigre sacré,1919,300,"Action,Adventure,Romance",3.5,10
Le lotus d'or,1919,58,"Crime,Drama",6.5,63
L'étreinte de la pieuvre,1919,300,"Action,Mystery,Thriller",7.1,22
Le pauvre amour,1919,87,"Comedy,Drama,Romance",7.0,1642
Cauchemars et hallucinations,1919,112,"Fantasy,Horror,Mystery",6.6,468
Les étoiles de la gloire,1919,60,"Drama,War",6.2,11
Le secret du bonheur,1919,62,"Drama,Romance",6.5,341
La caravane,1919,64,"Adventure,Mystery,Western",6.7,161
Cauchemars et superstitions,1919,85,"Action,Comedy,Romance",6.9,803
Fleur sans tache,1919,59,"Crime,Drama",6.4,347
Les drames d'une expédition polaire,1919,\N,Adventure,6.3,9
Une idylle dans la tourmente,1919,70,Drama,6.4,17
L'émeraude fatale,1920,50,Drama,6.8,25
Anne de Boleyn,1920,100,"Biography,Drama,Romance",6.6,600
Prince d'Orient,1920,50,"Action,Adventure,Fantasy",5.1,21
L'Atlantide,1921,172,"Adventure,Fantasy,Mystery",6.7,328
Le secret des abîmes,1920,60,Drama,6.3,26
Pages arrachées au livre de satan,1920,167,Drama,6.7,1106
Le souffle des Dieux,1920,60,Drama,5.3,6
Le bossu et la danseuse,1920,50,Horror,6.2,48
La montée du passé,1920,60,"Comedy,Drama",6.9,34
Le héros du silence,1920,70,Drama,7.1,9
L'antiquaire,1920,50,Drama,6.2,10
Le débrouillard,1920,50,"Comedy,Romance",3.6,5
Les morts ne parlent pas,1920,70,Adventure,6.1,10
Les deux gamines,1921,\N,Drama,6.9,8
Les passe-partout du Diable,1920,130,Drama,5.7,9
Grain de son,1920,70,"Adventure,Comedy,Drama",7.6,64
Le remplaçant,1920,50,"Crime,Drama",3.5,6
Un mariage mouvementé,1920,50,Comedy,6.4,103
Le Docteur Jekyll and M. Hyde,1920,69,"Drama,Horror,Sci-Fi",7.0,4974
Cherchez la femme,1921,\N,\N,5.4,13
L'empire du diamant,1920,60,"Crime,Drama",5.2,5
Vers le bonheur,1920,106,"Comedy,Romance",6.5,787
L'honneur du nom,1920,50,Drama,5.7,7
Fantômas en Amérique,1920,\N,Adventure,6.5,17
Pour l'âme de Raphaël,1920,70,"Adventure,Drama,History",4.9,8
